Occupation - unit group,Gender,Taxable income range - tax brackets,Number of individuals,"Taxable income or loss 
no.","Taxable income or loss 
$","Tax on taxable income 
no.","Tax on taxable income 
$","Medicare levy 
no.","Medicare levy 
$","Medicare levy surcharge 
no.","Medicare levy surcharge 
$","Total Medicare levy liability 
no.","Total Medicare levy liability 
$","Net tax 
no.","Net tax 
$","HELP assessment debt 
no.","HELP assessment debt 
$","Salary or wages 
no.","Salary or wages 
$","Tax withheld from salary or wages 
no.","Tax withheld from salary or wages 
$","Allowances earnings tips directors fees etc 
no.","Allowances earnings tips directors fees etc 
$","Employer lump sum payments amount A 
no.","Employer lump sum payments amount A 
$","Employment termination payments taxable component 
no.","Employment termination payments taxable component 
$","Australian government allowances and payments 
no.","Australian government allowances and payments 
$","Australian government pensions and allowances 
no.","Australian government pensions and allowances 
$","Australian annuities and superannuation income streams taxable component taxed element 
no.","Australian annuities and superannuation income streams taxable component taxed element 
$","Australian annuities and superannuation income streams taxable component untaxed element 
no.","Australian annuities and superannuation income streams taxable component untaxed element 
$","Gross interest 
no.","Gross interest 
$","Dividends unfranked 
no.","Dividends unfranked 
$","Dividends franked 
no.","Dividends franked 
$","Dividends franking credit 
no.","Dividends franking credit 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Total work related expenses 
no.","Total work related expenses 
$","Low value pool deduction 
no.","Low value pool deduction 
$","Interest deductions 
no.","Interest deductions 
$","Dividend deductions 
no.","Dividend deductions 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Total reportable fringe benefits amount 
no.","Total reportable fringe benefits amount 
$","Reportable employer superannuation contributions 
no.","Reportable employer superannuation contributions 
$","P&T net primary production amount 
no.","P&T net primary production amount 
$","P&T net non-primary production amount 
no.","P&T net non-primary production amount 
$","Share of franking credit from franked dividends 
no.","Share of franking credit from franked dividends 
$","Net PSI transferred 
no.","Net PSI transferred 
$","Deferred non-commercial business losses primary production deferred losses 
no.","Deferred non-commercial business losses primary production deferred losses 
$","Deferred non-commercial business losses non primary production deferred losses 
no.","Deferred non-commercial business losses non primary production deferred losses 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Estimated tax on net capital gains 
no.","Estimated tax on net capital gains 
$","Capital gains total current year capital gains 
no.","Capital gains total current year capital gains 
$","Capital gains net capital losses carried forward 
no.","Capital gains net capital losses carried forward 
$","Foreign source income assessable foreign source income 
no.","Foreign source income assessable foreign source income 
$","Foreign source income other net foreign source income 
no.","Foreign source income other net foreign source income 
$","Foreign source income foreign income tax offset 
no.","Foreign source income foreign income tax offset 
$","Gross rent 
no.","Gross rent 
$","Rent interest deductions 
no.","Rent interest deductions 
$","Rent capital works deductions 
no.","Rent capital works deductions 
$","Rent other rental deductions 
no.","Rent other rental deductions 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Other income category 1 
no.","Other income category 1 
$","Other income category 2 
no.","Other income category 2 
$","Personal superannuation contributions 
no.","Personal superannuation contributions 
$","Other deductions 
no.","Other deductions 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Estimated business net tax 
no.","Estimated business net tax 
$","Australian superannuation income stream tax offset 
no.","Australian superannuation income stream tax offset 
$","Small business income tax offset 
no.","Small business income tax offset 
$","Low income tax offset 
no.","Low income tax offset 
$","Employment termination payment tax offset 
no.","Employment termination payment tax offset 
$","HELP debt balance 
no.","HELP debt balance 
$","SFSS debt balance 
no.","SFSS debt balance 
$","TSL debt balance 
no.","TSL debt balance 
$","People with private health insurance 
no.","Private health insurance - your Australian Government rebate received 
no.","Private health insurance - your Australian Government rebate received 
$","Private health insurance rebate 
no.","Private health insurance rebate 
$","Excess private health reduction or refund (rebate reduced) 
no.","Excess private health reduction or refund (rebate reduced) 
$"
"7121 Crane, Hoist and Lift Operators",Male,"b. $18,201 to $37,000",657,657,18079013,657,1177339.38,385,198886.52,1,162,383,197636.5,498,961009.41,0,0,643,15839913,628,3381521.73,225,347813,31,167286,72,340002,193,1322147,70,839236,5,36265,2,35200,288,230339,35,4387,76,160504,76,68768,657,19833256,234,649432,82,117160,483,156941,28,34538,408,370530,538,1328601,15,4692,7,14706,5,2194,178,30803,402,138435,581,1750310,3,28470,67,414658,7,-243614,49,267025,24,126680.78,25,251212,1,6475,13,165494,14,176862,10,2141.7,23,551034,33,747446,28,73299,23,13327,25,9058.68,79,1529581,69,1063474,38,158516,82,865802,27,202790,55,-761001,82,-558211,8,21099,2,16003,5,173337,28,57445,69,1560597,58,1412613,72,59908,35,25897.86,6,5433.95,29,984.44,577,240824.07,22,7933.82,31,595651.28,1,782,2,4000.02,285,245,149236,43,9761.57,20,1868.9
"7121 Crane, Hoist and Lift Operators",Male,"c. $37,001 to $80,000",2837,2837,172448021,2836,32167717.8,2773,3344915.88,6,3970.74,2773,3348886.62,2834,34698366.47,28,84015.95,2828,172398018,2817,42406389.56,1167,3959837,141,1065184,287,1886640,270,1140161,70,588816,28,260371,6,86897,1265,670298,142,26776,369,500133,366,214246,2837,184186211,1403,4457058,551,1570199,2561,986229,132,246113,2346,3079814,2695,10339413,86,43239,28,44059,26,56160,1222,318605,2133,591093,2754,11678530,20,199808,424,3271430,19,-199589,173,784558,102,47167.29,63,993427,10,308394,35,324796,55,256308,54,47452.51,82,822830,150,2805705,108,154006,101,123240,102,7627.18,432,7288070,403,5474212,238,823897,439,4339535,86,433583,353,-3783157,439,-3349574,26,139281,13,263794,0,0,146,282864,144,4596720,150,3393219,155,936492,102,294804.79,30,42124,78,16255.47,1777,355079.1,378,247610.06,57,865255.05,2,31800,3,10909.29,1272,1140,633860,180,54741.34,105,14494.47
"7121 Crane, Hoist and Lift Operators",Male,"d. $80,001 to $180,000",5061,5061,599734404,5061,160920998.8,5041,11921196.45,468,636711.67,5042,12556254.94,5058,170910363.7,24,162934.15,5054,590015399,5047,186279650.7,2642,21807187,378,3721295,912,11140454,116,298323,23,151805,82,1115019,18,448179,2515,1410195,254,63738,760,1953230,756,836717,5061,635489433,2876,12316404,1565,6198025,4779,1799787,238,440683,4711,11302687,4983,32057586,215,115775,95,111458,69,207771,2543,789231,4193,1402285,5026,35677013,174,2408046,1501,10738306,29,-499194,574,1745710,461,193207.58,83,2744497,12,765710,29,299612,153,2194755,153,630145.23,200,4572987,347,9151203,459,933290,435,119469,441,262335.58,1010,18343521,982,14067134,610,2203804,1040,10650772,182,961301,861,-9539490,1044,-8578189,87,539948,26,254705,0,0,433,954249,141,4801242,146,4089781,155,357012,91,516129.75,74,164615,78,22994.2,0,0,1017,1881933.61,28,380522.95,7,46613,0,0,3438,3010,1769530,634,180936.41,1150,346498.1
"7121 Crane, Hoist and Lift Operators",Male,"e. $180,000 or more",701,701,156719999,701,51997352.55,696,3078779.7,144,364387.72,696,3442104.63,701,53916358.86,1,7194,700,139655143,701,51711395.67,268,2881150,98,1901399,237,7256443,7,10198,4,9467,6,125802,2,49066,382,246454,44,16345,108,1746281,108,748377,701,161132841,289,994095,203,760180,644,212910,29,50123,651,1620587,684,3637895,38,20719,13,37364,13,34473,350,128772,611,289385,693,4406977,57,1382094,244,2367825,2,-102441,102,1023311,83,197313.26,9,164723,5,255077,10,60129,46,3267867,46,1341803.47,50,6543726,69,1790058,83,1093297,73,15462,95,557916.02,213,4973476,207,3284146,130,521796,220,2719429,46,455687,175,-2007582,221,-1551895,16,128990,4,1990,1,34850,62,218229,17,1586215,20,1659687,20,-98260,5,74411.82,5,17694,7,1620.93,0,0,164,1484807.4,2,8182,0,0,0,0,589,468,283759,66,16470.93,424,194906.72
"7122 Drillers, Miners and Shot Firers",Female,All,2437,2434,220287914,2316,54776231.52,2241,4335855.15,158,151653.5,2240,4484146.51,2272,58380791.78,76,321444.41,2413,224203370,2406,65259190.34,151,398811,155,1829884,155,2027101,135,759489,51,501119,6,50810,2,15650,1435,669586,117,19158,374,445539,371,190321,2437,226684818,708,1509281,310,572562,2104,693508,145,280491,1719,1742110,2229,4797952,78,47264,30,51046,24,50263,1194,404983,1549,475583,2301,6306670,168,1473736,600,1860296,49,-897502,180,427730,129,37306.91,17,369294,14,174925,24,184667,50,230110,48,60044.99,77,724355,157,2695229,69,32572,70,20552,64,72022.09,580,9146557,566,7054834,322,1088555,590,6078585,73,291017,518,-5366434,592,-5075417,38,42209,9,31255,0,0,215,459523,71,2354460,82,3035228,82,-748048,22,58632.1,5,7236,37,7722.07,566,153627.99,214,324058.38,132,1382603.78,12,145915,0,0,1990,1595,816276,498,145490.12,716,234231.51
"7122 Drillers, Miners and Shot Firers",Male,"a. $18,200 or less",877,853,5616456,18,26158.25,0,0,0,0,0,0,8,21632.95,0,0,761,14483815,730,3643486.4,73,134983,87,682824,30,151894,155,992786,48,438244,9,79635,1,45320,403,303767,52,6036,163,134316,163,57523,872,7964860,66,183706,28,46100,347,94036,21,43170,236,251111,410,618123,15,7474,7,13483,11,25704,108,30922,368,155929,579,942361,12,272865,55,195736,55,-2350684,61,3832,11,6977.96,16,170179,11,253756,19,251492,28,144765,0,0,34,628102,73,2516449,13,202823,10,18715,11,58040.44,159,3293554,146,2462434,83,378778,163,2120621,32,109612,131,-1777891,163,-1668279,26,90040,5,19148,1,5000,37,84463,155,9702777,157,15123415,163,-6544569,0,0,0,0,0,0,10,2566.13,0,0,47,629525,4,26371,0,0,462,408,267076,74,26706.27,28,862
"7122 Drillers, Miners and Shot Firers",Male,"b. $18,201 to $37,000",1697,1697,46910943,1697,3118406.22,1004,510761.62,2,354.46,1003,510498.38,1353,2614576.3,1,2387.2,1622,45956458,1590,10762985.97,254,636540,136,1174761,109,472596,452,3191042,80,956923,25,304618,5,97359,792,472815,83,15569,232,337324,231,144490,1697,51013322,392,950587,154,306347,1158,342937,70,143166,887,732095,1283,2475132,52,29661,13,4295,17,11348,463,253227,971,324958,1453,3608291,11,137451,109,598809,37,-671503,99,684814,27,25084.91,57,438318,6,115159,31,393297,39,372689,30,24075.15,56,891486,107,2108590,26,54016,22,6640,21,7962.69,276,4707885,236,3407053,147,523594,279,2688304,68,408474,212,-2319540,280,-1911066,29,96885,2,23000,8,244015,83,198197,241,11517657,240,13775835,249,-3049736,117,91421.89,18,23810.32,112,5116,1571,657091.88,30,16167.87,104,1879641.48,9,122422.85,8,35838.8,823,692,389022,167,58038,42,3484.01
"7122 Drillers, Miners and Shot Firers",Male,"c. $37,001 to $80,000",7384,7384,458149616,7384,86600189.97,7271,8933403.48,26,16459.52,7263,8940288.85,7371,93117525.16,128,419965.3,7328,472597972,7319,123571829.8,1407,3859976,874,9565450,773,5798028,874,3264807,90,593002,48,628670,15,349596,3534,1260206,324,81246,865,1453898,862,622673,7384,486116469,3117,9005634,1328,3906260,6466,2380065,380,635390,5470,6514115,6827,22441464,233,125681,105,154933,64,209703,2872,808985,5129,1710415,7092,27271557,191,1759733,757,4412482,184,-4783219,370,1973746,137,134869.46,192,3387122,24,436696,96,679848,155,1267304,153,250231.08,222,4280623,418,10085398,160,984807,131,221429,143,266984.88,1262,22607591,1196,18576132,665,2935615,1278,14484056,190,870015,1088,-14258227,1280,-13388212,130,614376,30,244290,6,145993,705,1554903,647,24673412,647,30796410,674,-7241312,332,901284.08,46,104806.81,304,45883.3,4288,837321.78,1334,707623.82,215,3219488.33,27,294571,20,80995.12,4056,3524,1890771,908,281660.4,352,40455.44
"7122 Drillers, Miners and Shot Firers",Male,"d. $80,001 to $180,000",29583,29583,3654596697,29583,995818195.9,29454,72668048.89,1823,2265824.24,29443,74886616.2,29566,1058610438,302,1590473.84,29530,3706169653,29527,1136823321,2734,10252494,2060,40845871,2179,30629505,331,777181,50,249377,210,2665505,103,2250121,14805,5136031,1948,392968,5470,8255101,5450,3532589,29583,3769646634,11850,31190045,4237,11967081,27256,8813338,1206,2291304,24185,33447558,28645,87709326,1261,593154,466,712833,420,1375149,15151,4651353,22604,7760032,29093,114757829,2518,22435859,7461,45237243,428,-7400518,1804,2288958,1201,933746.43,187,4844472,135,3032855,345,3727691,819,6269071,818,1831951.8,1181,17286384,2493,55825135,884,6868614,777,1230692,823,2424961.9,6563,110000788,6407,88832409,3906,14397135,6728,69311983,788,3268064,5946,-65798601,6741,-62530537,479,3003525,162,1138624,9,204234,4853,11313284,1072,46619004,1184,55869056,1227,-12982930,407,1481791.86,183,376700,425,72197,0,0,3116,6681489.7,332,3607377,27,363616,5,12578,23384,20014,12272080,4685,1709083,7190,2163833.45
"7122 Drillers, Miners and Shot Firers",Male,"e. $180,000 or more",3404,3404,784869366,3404,263662677.2,3322,15091738.24,335,761841.45,3292,15677535.68,3381,259234419.5,4,25165,3369,673926238,3344,247528976.2,352,2779350,573,32746009,710,46411353,7,11633,8,69167,49,792933,16,427103,1787,1235186,301,256744,971,6491019,970,2780420,3404,799684422,1041,2414431,475,1390869,2934,863320,125,322103,2764,4370054,3200,9360777,204,114875,69,201424,116,643812,1772,700469,2743,1399090,3311,14709777,452,9402494,1070,8396772,61,-1365388,296,1951579,195,599423.14,15,819997,44,2171436,38,780430,211,5648775,210,2005479.15,303,13321758,528,13821998,321,19523341,240,2383736,348,10581416.32,1061,21952331,995,15643275,671,2975764,1077,13269700,191,1190926,887,-11127334,1082,-9936408,90,830748,30,355525,2,30525,686,2175405,82,7291016,101,7182989,106,-871379,31,448271.68,45,116483,46,14486.19,0,0,677,12653456.75,6,27600,1,22921,0,0,3066,2358,1578797,362,110208.58,2019,1011381.5
7123 Engineering Production Systems Workers,Female,All,101,101,5350722,93,970881.37,83,93357.7,0,0,83,93357.7,92,1028906.41,0,0,99,5211275,99,1166783,25,91165,3,16583,2,36490,4,26406,3,29907,0,0,0,0,45,53138,0,0,4,8456,4,3624,101,5509950,19,34636,10,22629,83,20857,5,8742,69,46523,91,133387,2,19,2,1972,0,0,45,7225,70,12760,93,159228,12,84684,18,56476,1,5280,3,20798,0,0,1,9795,0,0,1,811,3,105945,3,30938.43,3,211890,4,38275,1,1020,0,0,0,0,17,272091,15,181831,13,42675,17,155950,1,5988,16,-114353,17,-108365,0,0,1,1050,0,0,6,3865,1,22640,2,26068,2,-3428,0,0,0,0,1,55.02,67,21627.4,3,6958.61,3,10172.3,0,0,0,0,49,40,22888,13,4092.39,13,2768.88
7123 Engineering Production Systems Workers,Male,"a. $18,200 or less",69,68,746746,1,80.18,0,0,0,0,0,0,0,0,0,0,67,567857,57,65614,4,1550,2,9078,0,0,15,119813,2,22300,0,0,0,0,21,5903,1,32,0,0,0,0,68,754939,1,198,1,30,19,3442,0,0,8,922,22,4592,0,0,0,0,0,0,2,635,17,2966,26,8193,0,0,3,26234,1,-5761,4,7813,2,474.35,2,2058,0,0,0,0,1,5279,0,0,1,10558,1,24356,2,637,2,637,2,32.45,5,44801,5,37646,0,0,5,19520,0,0,5,-12365,5,-12365,0,0,0,0,0,0,0,0,4,77730,2,46985,4,30745,0,0,0,0,0,0,1,80.18,0,0,6,91363,0,0,1,4059.02,10,4,2329,2,566.31,0,0
7123 Engineering Production Systems Workers,Male,"b. $18,201 to $37,000",172,172,4937017,172,344156.69,106,57939.79,0,0,106,57939.79,143,310555.2,0,0,166,4433130,163,646842,23,60149,6,63008,6,4829,44,211710,9,112981,1,4734,0,0,67,34333,10,741,20,37474,20,16055,172,5203325,39,104078,4,31678,132,39516,4,3248,94,49783,146,228303,1,353,4,2345,3,285,48,10629,107,21483,159,266308,1,4990,13,139215,0,0,5,48933,3,572.59,4,45666,0,0,3,281,0,0,0,0,1,4234,5,73072,2,78,2,78,2,6.85,15,282050,10,112363,8,23085,15,131148,8,64347,7,-48893,15,15454,2,1345,0,0,0,0,2,2910,12,729978,8,638804,12,80350,10,6318.65,0,0,8,293.18,162,68338.46,2,564.08,8,163554,0,0,2,9043.98,46,43,25027,2,353.5,2,85.06
7123 Engineering Production Systems Workers,Male,"c. $37,001 to $80,000",1046,1046,59931599,1046,10636903.55,1024,1149621.22,1,707.86,1024,1150329.08,1046,11557419.03,9,26248.18,1045,60763289,1044,12690067.65,170,298030,37,344509,28,161297,34,123328,14,106327,7,49637,2,36403,428,226538,49,3156,99,101714,98,43553,1046,62131117,283,631932,44,92708,940,320964,19,24382,781,673504,1008,1743490,20,9473,15,10443,3,593,501,187823,775,153879,1017,2185624,15,118585,138,902231,2,9356,38,129487,16,7201.95,13,141717,1,166302,5,54648,15,87117,15,18358.21,24,198154,41,933188,21,14611,20,8886,17,1069.17,127,1793979,114,1226906,61,181156,128,970468,36,188204,93,-772755,129,-584551,8,53614,2,634,0,0,54,79544,22,1164883,24,1246233,23,-234558,9,6285.52,8,9564,11,536.62,782,172066.98,53,19764.32,19,281045,7,92236.4,4,28847.11,365,337,183315,38,12634.06,28,1292.94
7123 Engineering Production Systems Workers,Male,"d. $80,001 to $180,000",718,718,75892888,718,19426764.48,717,1513136.69,35,40736.11,717,1553872.8,718,20795674.99,5,23795.12,715,75305190,715,21407014.55,86,223332,33,694157,26,423960,3,6621,3,15289,14,170571,6,143871,335,163084,55,12861,127,218433,127,93304,718,77423425,236,402547,33,69723,630,146761,14,18199,593,543089,689,1180319,17,8554,10,19082,16,22928,374,91598,494,133238,699,1529497,139,1318983,316,2185861,4,-39684,26,178167,14,3343.28,4,79611,2,27582,9,50414,21,325299,21,97756.79,26,723810,43,673184,18,20563,15,3384,14,21607.49,122,1772727,114,1333555,78,196159,123,985453,31,134306,93,-876746,124,-742440,9,21372,4,5973,0,0,40,71997,12,143605,17,193946,18,-60683,4,3764.41,15,28276,3,204.81,0,0,42,119499.17,5,91250,0,0,0,0,544,440,309285,131,84876.47,127,28876.48
7123 Engineering Production Systems Workers,Male,"e. $180,000 or more",30,30,8054711,30,2831254.91,29,135152.78,7,20527.42,29,155680.2,30,2893518.86,0,0,30,6094160,30,2362902,11,51706,5,307512,8,526759,1,1314,0,0,1,24777,1,34639,18,33991,2,275,14,42581,14,18244,30,8121488,10,9206,2,419,26,5330,1,185,26,27737,29,42877,2,1058,0,0,1,509,13,2877,24,17139,29,66777,2,29079,12,105767,2,-2992,2,223932,1,68982,0,0,0,0,0,0,3,521068,3,191434.54,4,2090880,5,109677,5,212277,5,105530,4,765.72,12,236085,11,170180,7,28529,12,113258,3,11943,9,-87825,12,-75882,0,0,0,0,0,0,2,2317,1,20569,1,14303,1,6266,1,2114.82,2,3985,0,0,0,0,7,139578.77,0,0,0,0,0,0,23,17,9763,5,1462.88,15,7507.13
7129 Other Stationary Plant Operators,Female,All,1424,1422,92895675,1256,20070350.55,1174,1767191.52,42,43193.21,1174,1810384.73,1198,21519224.54,45,175056.54,1420,93578941,1412,24655375.18,319,561518,28,201787,65,349989,170,968100,39,359366,7,36798,4,82131,826,282200,78,15849,152,128919,152,55171,1424,96029020,507,1026084,125,190063,1152,330299,62,102204,933,831526,1231,2480176,34,21655,8,2269,7,5044,632,161615,786,186163,1261,2982968,42,375981,276,1242771,24,-110588,110,545694,73,55025.98,17,160126,2,10783,15,173013,30,189962,28,47033.98,40,729957,58,1019517,30,7264,30,7264,30,683.07,209,3294716,202,2534173,113,371343,213,1999883,35,96763,178,-1707446,214,-1610683,12,45969,4,32028,0,0,70,126031,47,782775,48,995608,48,-347453,17,12540.5,5,5105,23,3947.49,605,174453.67,71,59329.05,185,2780146,13,92412.89,0,0,883,671,353766,165,49964.3,210,57759.54
7129 Other Stationary Plant Operators,Male,"a. $18,200 or less",417,414,3904616,6,10215.62,0,0,0,0,0,0,3,9311.8,0,0,391,4729420,362,921958,41,64588,11,23821,20,52743,96,669533,24,152459,2,15997,0,0,179,87969,26,3817,45,36870,45,15789,417,4385509,44,77681,14,17893,166,34424,7,11405,102,49278,184,190681,3,211,0,0,3,1730,41,8230,131,45629,240,300101,3,16932,24,169955,14,-488691,27,-177986,9,1379.93,12,39043,2,60435,5,24347,16,112745,0,0,19,730213,21,704113,7,12579,6,1577,6,337.17,44,580146,39,449207,18,46341,45,398519,13,37036,32,-350957,45,-313921,3,8796,1,10656,1,23000,5,30620,38,2165085,36,2732662,43,-765130,0,0,0,0,0,0,4,903.82,0,0,32,680131.68,2,27117,1,6000.03,172,133,76832,21,4555.63,7,15.71
7129 Other Stationary Plant Operators,Male,"b. $18,201 to $37,000",967,967,26919054,967,1781930.59,595,303185.84,0,0,595,303185.84,760,1489979.74,0,0,952,23616146,928,4214859.95,210,404410,46,291952,50,155188,278,1873303,84,979155,6,43716,2,23460,402,228856,46,5002,100,129026,100,55267,967,28545730,280,589379,85,117094,710,229033,26,27408,544,335781,785,1298695,9,4192,9,14670,10,13555,268,60410,503,127834,837,1567497,6,102541,89,711836,13,-110752,41,7809,14,3146.48,26,283967,1,924,8,20948,16,65622,7,574.57,27,317585,34,289841,17,48873,12,4327,13,570.67,79,1247654,66,864973,31,106595,81,632200,24,107027,57,-463141,81,-356114,7,12215,6,34155,0,0,27,48141,73,2341673,68,1831772,76,484464,49,33818.5,6,6556,30,1552.97,874,362836.25,17,6266.92,80,1545957.98,5,31294,3,18411.41,325,255,157122,39,12558.06,14,109.58
7129 Other Stationary Plant Operators,Male,"c. $37,001 to $80,000",5813,5813,360746089,5813,68109554.87,5736,7082313.78,18,13562.25,5736,7095876.03,5811,73900721.03,89,273856.15,5796,366262376,5791,83869691.56,1871,3660855,146,1390103,262,1783009,254,894192,98,727856,75,659691,20,478181,2747,1084065,309,50507,699,910369,696,389799,5813,377628850,2517,6398358,724,1582006,5340,1761090,181,272011,4628,4522789,5596,14536254,124,57691,67,45926,53,87614,2603,530359,3965,980504,5652,16839881,100,1199939,1228,9332877,66,-1246203,221,1230110,108,75906.44,55,798573,23,626477,55,330141,98,282677,98,52445.63,138,894762,264,4707376,106,132225,101,59785,95,13829.54,713,9630087,654,7023249,349,1035276,724,5868093,158,660933,569,-4957464,727,-4296531,68,140303,20,101213,2,23000,319,557397,215,29937096,214,29136262,228,468560,130,326921.08,75,114962,128,16660.52,3442,640320.22,373,252094.72,160,2386104.26,15,117612,11,48471.5,2535,2254,1241554,307,99130.81,205,18367.49
7129 Other Stationary Plant Operators,Male,"d. $80,001 to $180,000",7300,7300,809526646,7300,211538240.5,7288,16145115.75,477,556297.64,7288,16701413.39,7299,226543103.8,64,319896.49,7296,815371930,7295,237949214.3,1987,6320242,209,3370332,335,4347874,39,85196,14,75531,115,1312777,39,998980,3694,1700512,581,142217,1329,2038867,1326,872975,7300,835418201,3133,8028739,977,2392647,6775,1940797,168,253258,6381,8355142,7145,20970583,206,104871,132,188624,135,360445,3881,1108413,5267,1502577,7198,25699406,408,3903253,2487,18437925,68,-432344,569,1946324,393,284724.51,28,711312,21,573625,57,797393,226,1933290,226,554079.43,308,5472520,497,11158084,265,214099,256,84950,243,44628.66,1281,21004907,1223,15112932,758,2414167,1300,12188855,244,1251452,1060,-9962499,1304,-8711047,170,314920,41,114126,0,0,713,1445684,169,4795163,176,4920440,185,-777547,81,290483.89,112,215516,93,20519.12,0,0,445,1030180.46,75,846365.21,4,43346,0,0,5092,4417,2733578,831,345187.7,1472,424524.44
7129 Other Stationary Plant Operators,Male,"e. $180,000 or more",293,293,65224349,293,21617134.05,291,1270128.1,36,97845.29,291,1367973.39,293,21920053.64,0,0,292,53199168,291,19423526,59,489291,58,2394046,88,3103893,4,2170,1,3062,9,199598,5,84740,184,215179,34,39289,93,780742,93,334536,293,66439907,104,242175,47,105817,250,73798,16,30122,254,340437,281,792349,16,5318,3,8538,17,53024,150,48465,228,98727,287,1146037,26,395767,135,1164136,3,-55396,50,1714651,36,81722.67,0,0,2,57449,4,77914,24,1589928,24,598991.72,32,3419956,44,491828,22,457509,19,142426,21,117646.16,98,2031864,94,1255556,60,201316,99,1101736,19,261070,80,-787814,99,-526744,3,145,3,21350,1,35000,38,104616,11,2067918,11,1862477,13,187721,7,58157,9,29293,5,3102.72,0,0,85,1131499.39,0,0,0,0,0,0,255,192,119396,33,10569.23,166,78567.02
7210 Mobile Plant Operators,Female,All,26,26,1034462,17,181093.99,14,17667.42,0,0,14,17667.42,15,195207.09,1,2795.04,26,1032850,25,237580,1,186,0,0,0,0,5,23838,0,0,0,0,0,0,11,6002,1,26,2,3282,2,1406,26,1067590,7,16821,2,536,13,4845,2,478,10,8864,14,31544,0,0,1,89,0,0,6,461,2,335,15,33128,0,0,3,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,699,0,0,0,0,0,0,0,0,0,0,0,0,12,3186.32,0,0,5,55218,3,24146.48,0,0,9,8,5359,1,245.1,4,1793.19
7210 Mobile Plant Operators,Male,All,330,330,20619682,307,4199213.88,283,389243.03,9,12345.19,283,401588.22,291,4476927.41,3,16938.35,329,20143342,328,4962065,73,120330,10,143849,12,90070,38,257250,9,113336,2,29062,0,0,141,149197,13,1625,42,36060,40,15328,330,21289430,86,233345,37,45099,239,82274,24,37276,186,207724,264,605718,1,425,10,4191,7,7524,127,22936,52,9237,268,669797,8,128930,61,427513,0,0,3,180,2,117.94,2,6186,0,0,0,0,1,3430,1,514.5,2,12830,6,89257,2,1832,1,36,1,8.29,15,311050,14,152089,5,18800,15,231385,6,18617,9,-109841,15,-91224,4,4991,1,7000,0,0,12,19766,2,142320,3,112828,3,29278,2,3273.82,1,3609,0,0,169,40817.63,21,49027.82,13,295850.92,1,3024,0,0,134,104,66469,21,6851.75,11,2374.1
"7211 Agricultural, Forestry and Horticultural Plant Operators",Female,All,1040,1037,28719152,650,3390673.81,478,392679.03,4,3872.87,477,395908.14,540,3394334.1,4,19816.64,1019,23932639,943,4159595.36,99,203133,4,20534,9,22561,181,1141187,41,418617,3,63652,1,19363,530,298319,22,2725,79,381470,79,163468,1039,29853932,168,313587,36,65405,577,176092,13,10718,349,216981,625,782783,4,3770,8,8749,2,3817,142,33798,309,68165,672,1037668,2,30058,54,408988,76,1864402,84,875726,29,99990.46,14,141625,1,2710,7,22856,19,17154,11,2245.72,24,75217,26,547347,24,79019,23,64948,21,12966.17,58,806515,34,298864,18,31765,58,418466,28,213701,31,-156281,59,57420,2,10073,5,7338,4,119777,12,16809,40,786507,29,559192,40,220658,16,14227.89,3,7317.26,35,6548.01,544,197306.21,10,32766.88,148,2528247,9,63119.76,1,7333.37,403,275,161341,24,7472.11,34,10135.61
"7211 Agricultural, Forestry and Horticultural Plant Operators",Male,"a. $18,200 or less",1692,1635,15045415,74,149205.04,0,0,0,0,0,0,48,138851.72,0,0,1644,17201312,1524,2882067.49,102,157980,8,28113,7,3942,296,2123699,52,409683,1,3579,1,130,654,330590,86,15013,145,192985,143,82665,1689,17898193,80,157562,23,67268,473,107758,7,7694,243,99447,547,439729,12,1539,10,16868,4,2004,76,21805,262,67004,662,684596,2,36835,44,115007,113,-1618684,136,258016,32,28881.02,18,69597,10,206868,26,267839,21,57046,2,34.09,28,486279,68,1266353,24,40071,20,12622,22,6757.2,60,790398,40,362654,19,44468,59,414987,30,173212,31,-204923,61,-31711,8,11670,5,10524,2,65000,25,70647,166,11408923,157,12467583,173,-1981734,6,1031.01,0,0,6,222.36,35,9970.23,0,0,135,2330190.5,5,59994,6,40750.13,519,301,195096,26,5985.14,11,1240.53
